parent,name,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,status
text2sql.AggregateCovid,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateCovid,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateCovid,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateCovid,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateCovid,MissedAppointmentDueToCOVID19,MissedAppointmentDueToCOVID20,Case if the individual missed appointment due to covid,,,,,,,Approved
text2sql.AggregateCovid,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateCovid,PatientStatus,PatientStatus,A status of the individual showing if the Covid is symptomatic or asymptomatic,,,,,,,Approved
text2sql.AggregateCovid,Screened,Screened,Screening status for Covid,,,,,,,Approved
text2sql.AggregateCovid,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateCovid,TXCurr12YearsAbove,TXCurr12YearsAbove,Number of clients who are currently on ART and are above 12 years of age,,,,,,,Approved
text2sql.AggregateCovid,VaccinationStatus,VaccinationStatus,Covid 19 Vaccination Status,,,,,,,Approved
,AggregateDSD,AggregateDSD,"An aggregate table that Contains Counts of individuals who are current on ART, on multi month dispense, no on Multi month dispense and stability assessments done disagregated per facility, grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateDSD,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateDSD,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateDSD,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateDSD,DifferentiatedCare,DifferentiatedCare,Model of Care,,,,,,,Approved
text2sql.AggregateDSD,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateDSD,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateDSD,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateDSD,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateDSD,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateDSD,Stability,Stability,Counts of individuals who were assessed for stability,,,,,,,Approved
text2sql.AggregateDSD,StabilityAssessment,StabilityAssessment,"A status of the assessment as documented from the EMR as Stable, Unstable and Not documented",,,,,,,Approved
text2sql.AggregateDSD,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateDSD,TxCurr,TxCurr,Sum of individuals on TxCurr,,,,,,,Approved
text2sql.AggregateDSD,patients_nonMMD,patients_nonMMD,A sum of individuals not on Multi month dispense,,,,,,,Approved
text2sql.AggregateDSD,patients_onMMD,patients_onMMD,A sum of individuals on Multi month dispense,,,,,,,Approved
,AggregateDSDApptsByStability,AggregateDSDApptsByStability,"An aggregate table that contains Counts of individuals disagregated by number of appointment days they were given (<3months, 3-5Months, >6 months) grouped by stability status (Stable and unstable)",,,,,,,Approved
text2sql.AggregateDSDApptsByStability,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,AppointmentsCategory,AppointmentsCategory,"Appointments categorization, <3months, 3-5 months,>6+Months, unclassified",,,,,,,Approved
text2sql.AggregateDSDApptsByStability,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,Stability,Stability,Stability assessment status as stable,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,StabilityAssessment,StabilityAssessment,Stability assessment status,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateDSDApptsByStability,patients_number,patients_number,Counts of patients currently on treatment,,,,,,,Approved
,AggregateDSDStable,AggregateDSDStable,"An aggregate table that contains Counts of TXCurr individuals who are stable grouped by the Differrentiated care models, Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateDSDStable,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateDSDStable,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateDSDStable,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateDSDStable,DifferentiatedCare,DifferentiatedCare,The differentiated care model that the patient is on,,,,,,,Approved
text2sql.AggregateDSDStable,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateDSDStable,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateDSDStable,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateDSDStable,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateDSDStable,MMDModels,MMDModels,The count of patients on differentiated care models,,,,,,,Approved
text2sql.AggregateDSDStable,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateDSDStable,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateDSDStable,TxCurr,TxCurr,Count of patients currently on treatment,,,,,,,Approved
,AggregateDSDUnstable,AggregateDSDUnstable,"An aggregate table that contains TXCurr individuals Counts of on ARTLess than 12 months, Less than 20 years, Adherence, with High Viral loads, |pregnant,grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateDSDUnstable,Adherence,Adherence,Number of patients who have undergone adherence assessment,,,,,,,Approved
text2sql.AggregateDSDUnstable,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateDSDUnstable,Agelessthan20Yrs,Agelessthan20Yrs,Number of patients who are less than 20 years,,,,,,,Approved
text2sql.AggregateDSDUnstable,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateDSDUnstable,BMI,BMI,Number of patients who have a BMI,,,,,,,Approved
text2sql.AggregateDSDUnstable,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateDSDUnstable,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateDSDUnstable,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateDSDUnstable,HighVL,HighVL,Number of patients who have a High Viral load,,,,,,,Approved
text2sql.AggregateDSDUnstable,LatestPregnancy,LatestPregnancy,Number of patients who are pregnant,,,,,,,Approved
text2sql.AggregateDSDUnstable,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateDSDUnstable,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateDSDUnstable,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateDSDUnstable,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateDSDUnstable,onARTlessthan12mnths,onARTlessthan12mnths,Number of patients who have been on ART for less than 12 months,,,,,,,Approved
text2sql.AggregateDSDUnstable,patients_number,patients_number,Number of patients currently on treatment,,,,,,,Approved
,AggregateDefaulterTracingOutcome,AggregateDefaulterTracingOutcome,"An aggregate table that contains Counts of individuals who had been traced after defaulting to treatment disaggregated per facility,grouped by Facility, County, SubCounty, Partner",,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,AgeGroup,AgeGroup,A 4 year age band from 1 to 64 years,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,AsOfDate,AsOfDate,End of the reporting month,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,DifferentiatedCare,DifferentiatedCare,Differentiated service delivery Model of the individual,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,Gender,Gender,Sex of the patient,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,MFLCode,MFLCode,Master facility code as asigned in the KHMFL,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,Month,Month,Calendar month,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,TracingOutcome,TracingOutcome,The outcome of the event after patient was traced,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,Year,Year,calendar year,,,,,,,Approved
text2sql.AggregateDefaulterTracingOutcome,patients,patients,The count of individuals who were traced,,,,,,,Approved
,AggregateExpectedUploads,AggregateExpectedUploads,AggregateExpectedUploads,,,,,,,Approved
text2sql.AggregateExpectedUploads,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateExpectedUploads,agency,agency,The funding body,,,,,,,Approved
text2sql.AggregateExpectedUploads,county,county,The County where the facility is located,,,,,,,Approved
text2sql.AggregateExpectedUploads,docket,docket,"The sending docket CT, HTS, MNCH, Prep",,,,,,,Approved
text2sql.AggregateExpectedUploads,expected,expected,The number of EMR sites expected to report,,,,,,,Approved
text2sql.AggregateExpectedUploads,partner,partner,The service delivery partner,,,,,,,Approved
text2sql.AggregateExpectedUploads,subcounty,subcounty,The Sub County where the facility is located,,,,,,,Approved
,AggregateFACT_CT_DHIS2,,C&T From DHIS2,,,,,,user;admin,Approved
text2sql.AggregateFACT_CT_DHIS2,AgencyName,AgencyName,The funding body,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,CTX_Total,CTX_Total,This is a summary count of patients who : 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,County,County,The County where the facility is located,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,CurrentOnART_Total,CurrentOnART_Total,"This is a summary count of patients who: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month Note: Currently on therapy, covering those who picked drugs before the reporting month, does not discount for deaths that may have occurred since the drugs where picked. These number are however may be negligible because the time interval (of 3 months) covered is quite narrow.",,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,DHISOrgId,DHISOrgId,Identifier of the organisation unit where the event took place,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Enrolled_Total,Enrolled_Total,This is a count of all individuals enrolled into care for HIV services,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,FacilityName,FacilityName,The facility name as entered in KHMFL,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,LoadDate,LoadDate,Date when the dataset was E T L loaded,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,NetCohort_12Months,NetCohort_12Months,This is a summary count of patients who started on ART less patients who stopped and Transfered out,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,OnART_12Months,OnART_12Months,This is a summary count of patients who have been on ART for the past 12 months,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_10_14_F,On_ART_10_14_F,This is a summary count of patients who are 10 -14 year Females and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_10_14_M,On_ART_10_14_M,This is a summary count of patients who are 10 -14 year Males and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_15_19_F,On_ART_15_19_F,This is a summary count of patients who are 15 -19 year Females and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_15_19_M,On_ART_15_19_M,This is a summary count of patients who are 15 -19 year Males and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_1_9,On_ART_1_10,This is a summary count of patients who are 1 -9 year and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_20_24_F,On_ART_20_24_F,This is a summary count of patients who are 20 -24 year Females and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_20_24_M,On_ART_20_24_M,This is a summary count of patients who are 20 -24 year Males and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_25_Plus_F,On_ART_25_Plus_F,This is a summary count of patients who are >25 Females and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_25_Plus_M,On_ART_25_Plus_M,This is a summary count of patients who are >25Males and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,On_ART_Under_1,On_ART_Under_2,This is a summary count of patients who are <1 year and: 1. Started therapy this month and 2. Started therapy before this month but made a visit to collect drugs this month and 3. Started therapy before this month but did not make a visit to the facility during this month because had picked enough drugs (during earlier visits before this month) to cover the reporting month,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,PartnerName,PartnerName,The implementing partner mechanism,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,ReportMonth_Year,ReportMonth_Year,The reporting month and year,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,SiteCode,SiteCode,The Master Facility list code,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_10_14_F,Start_ART_10_14_F,This is a count of data on babies started on ART for treatment disaggregated by the age 10-14 years and gender Females. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_10_14_M,Start_ART_10_14_M,This is a count of data on babies started on ART for treatment disaggregated by the age 10-14 years and gender Males. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_15_19_F,Start_ART_15_19_F,This is a count of data on babies started on ART for treatment disaggregated by the age 15-19 years and gender Females. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_15_19_M,Start_ART_15_19_M,This is a count of data on babies started on ART for treatment disaggregated by the age 15-19 years and gender Males. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_1_9,Start_ART_1_10,This is a count of data on babies started on ART for treatment disaggregated by the age 1-9 years. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_20_24_F,Start_ART_20_24_F,This is a count of data on babies started on ART for treatment disaggregated by the age 20-24 years and gender Females. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_20_24_M,Start_ART_20_24_M,This is a count of data on babies started on ART for treatment disaggregated by the age 20-24 years and gender Males. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_25_Plus_F,Start_ART_25_Plus_F,This is a count of data on babies started on ART for treatment disaggregated by the age >25 years and gender Females. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_25_Plus_M,Start_ART_25_Plus_M,This is a count of data on babies started on ART for treatment disaggregated by the age >25 years and gender Males. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,Start_ART_Under_1,Start_ART_Under_2,This is a count of data on babies started on ART for treatment disaggregated by the age < 1 year. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,StartedART_Total,StartedART_Total,This is a count of data on individuals started on ART for treatment. Note: Patients started on HAART in the MCH setting should be included,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,SubCounty,SubCounty,The Sub County where the facility is located,,,,,,,Approved
text2sql.AggregateFACT_CT_DHIS2,VLResultAvail_12Months,VLResultAvail_12Months,This is a status of patients who have a viral load at 12 months,,,,,,,Approved
